"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"32",32,"1",36,"1","1","1","2","1",3000,"1","2","2","1","2","1",2000,"1","2","3",180,"4","1","1","1","5","1","7","1","1","1","7","7","7","7","2","6","2","1","CP","7","1","3","1","1","1","1","1","1","2","2","3","2","2","6","1","1","La Paz","33",1.66029585357411,"4"
"33",33,"1",27,"1","1","1","2","1",3580,"1","2","2","1","3","1",1600,"1","3","3",250,"3","1","1","1","5","1","5","1","7","3","1","7","1","7","2","7","1","1","AS","7","1","5","1","1","1","1","1","1","1","1","3","2","2","6","1","1","La Paz","33",1.66029585357411,"5"
"34",34,"1",23,"1","2","1","5","1",1500,"1","1","2","1","2","1",750,"1","1","1",300,"4","1","1","7","4","1","1","5","2","1","1","4","2","2","2","2","2","1","AC","6","1","2","1","1","1","2","1","2","1","1","1","2","2","6","1","1","La Paz","33",1.66029585357411,"2"
"35",35,"1",18,"1","1","1","3","1",1000,"1","1","2","1","3","1",600,"1","1","3",10,"3","1","1","5","6","6","4","1","1","1","1","6","6","6","1","3","1","1","ES","3","1","6","1","1","1","2","2","1","2","1","5","2","2","5","1","1","La Paz","33",1.66029585357411,"4"
"36",36,"1",50,"1","2","1","5","1",2200,"1","2","2","1","3","1",1160,"1","2","2",50,"5","1","1","4","4","7","5","1","3","3","3","4","4","6","1","7","3","1","NP","7","1","3","1","1","1","1","1","1","1","2","2","2","2","3","1","1","La Paz","33",1.66029585357411,"4"
"37",37,"1",41,"1","1","1","2","1",2800,"1","1","1","1","1","1",1800,"1","1","2",80,"3","1","3","4","5","6","5","1","1","1","1","1","1","6","2","8","3","1","AS","8","1","6","1","1","1","1","1","1","2","1","3","2","2","5","1","1","La Paz","33",1.66029585357411,"5"
"38",38,"1",40,"1","1","1","5","1",3000,"1","1","2","1","2","1",1800,"1","1","2",180,"4","1","1","1","1","2","3","3","6","3","1","2","6","6","1","7","2","1","AS","7","1","5","1","1","1","1","1","1","2","2","1","2","2","5","1","1","La Paz","33",1.66029585357411,"5"
"39",39,"1",23,"1","1","1","4","1",3000,"4","1","2","1","2","1",1000,"1","1","3",100,"4","1","1","1","5","6","3","2","3","3","1","1","7","6","2","6","1","1","ES","3","1","3","1","1","1","1","1","1","2","1","2","2","1","9","1","1","La Paz","33",1.66029585357411,"5"
"40",40,"1",38,"1","1","1","6","1",1000,"1","1","2","1","2","1",600,"1","1","3",30,"3","1","3","4","4","1","3","1","3","4","4","4","3","5","1","7","2","1","PI","7","1","2","1","1","1","2","1","1","1","1","2","2","2","8","1","1","La Paz","33",1.66029585357411,"3"
"41",55,"1",20,"1","1","1","7","1",2000,"1","1","2","1","1","1",3200,"1","2","1",100,"5","2","5","5","5","6","5","5","4","4","4","4","5","6","1","6","1","1","ES","8","1","7","1","1","1","1","1","1","2","1","5","1","1","6","1","1","La Paz","33",1.66029585357411,"5"
"42",56,"1",25,"1","1","1","7","1",3400,"4","1","2","2","1","1",4000,"1","1","1",500,"4","2","6","6","5","6","4","5","3","3","1","7","7","6","2","2","1","1","ES","8","1","6","1","1","1","1","1","1","1","1","5","2","1","5","1","1","La Paz","33",1.66029585357411,"5"
"43",57,"1",15,"1","1","1","7","1",4100,"2","2","1","2","2","1",4000,"1","1","1",300,"4","2","7","1","7","6","6","5","5","3","5","3","5","6","1","2","1","1","ES","8","1","6","1","1","1","1","1","1","2","1","5","1","1","4","1","1","La Paz","33",1.66029585357411,"5"
"44",58,"1",18,"1","1","1","7","1",2200,"3","1","2","1","1","1",300,"1","1","2",600,"5","2","6","6","6","6","5","5","5","4","5","4","4","6","2","3","1","1","ES","8","1","5","1","1","1","1","1","1","1","1","5","1","1","3","1","1","La Paz","33",1.66029585357411,"5"
"45",59,"1",24,"1","1","1","7","1",7500,"3","1","2","1","1","1",4000,"1","2","1",200,"5","1","4","5","5","1","6","5","5","4","4","4","5","6","2","6","1","1","NP","8","1","7","1","1","1","1","1","1","1","1","5","1","1","5","1","1","La Paz","33",1.66029585357411,"5"
