"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"917",10561,"1",27,"1","1","2","9","1",6200,"2","2","1","1","3","1",850,"3","1","3",10,"5","1","1","2","3","5","7","1","2","3","2","2","1","2","1","7","1","1","PI","7","1","4","1","1","1","1","1","1","2","1","2","1","2","5","3","1","Cochabamba","17",1.16742277433498,"4"
"918",10562,"1",40,"1","2","1","7","1",4000,"1","2","2","2","3","1",1600,"1","1","2",10,"3","1","1","1","1","1","1","1","2","3","1","6","3","6","1","7","1","1","EM","7","2","2","1","1","1","2","2","2","2","2","1","2","2","1","3","1","Cochabamba","17",1.16742277433498,"2"
"919",10564,"1",14,"1","2","2","9","1",2000,"1","1","2","2","3","1",1500,"1","1","2",30,"4","1","5","5","6","6","3","1","5","5","5","5","5","6","1","2","1","1","ES","3","2","2","2","2","1","2","2","2","2","1","1","2","2","7","3","1","Cochabamba","17",1.16742277433498,"1"
"920",10567,"1",28,"1","1","2","1","1",1000,"1","1","2","1","3","1",1040,"1","1","2",30,"5","1","5","5","1","1","1","1","1","1","1","1","1","1","2","4","2","1","AC","4","1","2","1","1","1","2","2","1","2","1","1","1","2","4","3","1","Cochabamba","17",1.16742277433498,"2"
"921",10581,"1",40,"1","1","1","1","1",2150,"4","1","2","1","3","1",1500,"1","1","2",60,"4","2","1","1","5","1","1","1","1","1","1","1","1","1","1","3","3","3","CP","3","1","1","1","1","1","2","2","1","2","1","1","1","1","2","3","1","Cochabamba","17",1.16742277433498,"3"
"922",10584,"1",30,"1","2","2","8","1",1050,"1","2","2","1","3","1",550,"1","1","2",40,"4","1","1","6","6","6","1","1","2","1","4","1","1","6","1","7","2","1","NP","7","1","2","1","1","1","1","2","2","1","2","4","2","1","5","3","1","Cochabamba","17",1.16742277433498,"4"
"923",10588,"1",48,"1","1","1","6","1",2950,"1","2","2","1","2","1",1200,"1","1","1",65,"5","1","1","4","6","6","3","6","2","1","7","7","1","5","2","4","2","2","CP","4","2","1","1","1","1","1","2","1","2","1","1","2","2","3","3","1","Cochabamba","17",1.16742277433498,"3"
"924",10591,"1",46,"1","1","1","8","1",550,"1","1","2","2","1","1",1700,"1","1","2",220,"1","1","2","1","1","5","3","6","7","7","7","3","2","6","1","6","2","1","CP","6","1","2","1","1","1","1","2","1","2","2","1","2","2","5","3","1","Cochabamba","17",1.16742277433498,"3"
"925",10592,"1",45,"1","1","1","8","1",5750,"1","1","2","1","1","1",4000,"1","2","3",90,"4","2","4","4","6","6","6","4","4","3","2","7","7","6","1","8","1","1","AS","8","1","6","1","1","1","1","1","1","1","1","3","1","1","2","3","1","Cochabamba","17",1.16742277433498,"5"
"926",10605,"1",22,"1","1","1","6","1",1950,"2","2","2","2","2","1",500,"1","1","3",200,"1","1","1","1","5","6","3","5","1","1","3","6","2","3","1","4","2","1","PI","4","1","2","1","1","1","1","1","1","1","2","2","2","2","6","3","1","Cochabamba","17",1.16742277433498,"3"
